"plot_ID" "species_1" "species_2" "species_3" "heigth_A" "heigth_B" "heigth_C" "heigth_D" "PAR_sup" "PAR_inf" "treatment" "date" "PAR_start" "PAR_end" "first_flower" "pheno_sp1" "pheno_sp2" "pheno_sp3" "season" "mean_height" "PAR_diff"
"1077" 59 "Ra" NA NA 26 15.5 26 32 193 2 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 24.875 191
"1078" 59 "Ra" NA NA 31.5 29 31 38 193 0.32 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 32.375 192.68
"1079" 60 "To" NA NA 0 27.5 15 27 193 1.6 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 17.375 191.4
"1080" 60 "To" NA NA 26.5 0 27.5 0 193 8.8 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 13.5 184.2
"1081" 1 "To" "Dc" "Ra" 0 10.5 22 11 175 8.4 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 10.875 166.6
"1082" 1 "To" "Dc" "Ra" 17 20.5 21.5 25 175 5.7 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 21 169.3
"1083" 2 "Cb" "Dc" "Pg" 8 12 4 7 175 175 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 7.75 0
"1084" 2 "Cb" "Dc" "Pg" 18.5 14 16 9 175 11.4 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 14.375 163.6
"1085" 3 "Fr" "Hl" "Ra" 17 17 21 17 165 63 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 18 102
"1086" 3 "Fr" "Hl" "Ra" 22 21 30.5 32 165 4.6 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 26.375 160.4
"1087" 4 "Lp" "Pt" "Dc" 16.5 13 16.5 15 184 84 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 15.25 100
"1088" 4 "Lp" "Pt" "Dc" 28.5 20.5 23 22.5 184 58 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 23.625 126
"1089" 5 "Be" "Hl" "Dc" 11 19.5 18.5 28 184 34 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 19.25 150
"1090" 5 "Be" "Hl" "Dc" 35.5 30 36 37 184 6.1 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 34.625 177.9
"1091" 6 "Fr" "To" "Ra" 19 16 0 26 130 26 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 15.25 104
"1092" 6 "Fr" "To" "Ra" 45 36 37 51 130 0.9 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 42.25 129.1
"1093" 7 "Lp" "Cb" "Sp" 15.5 14 9 12 130 110 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 12.625 20
"1094" 7 "Lp" "Cb" "Sp" 21.5 17 22.5 17 130 23 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 19.5 107
"1095" 8 "Pt" "Dc" "Sp" 11 6 4.5 10 130 10.4 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 7.875 119.6
"1096" 8 "Pt" "Dc" "Sp" 21.5 13.5 17 10 130 76 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 15.5 54
"1097" 9 "Fr" "Pt" "Pm" 16.5 5 16 27 164 1.9 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 16.125 162.1
"1098" 9 "Fr" "Pt" "Pm" 32.5 25 29.5 31.5 164 83 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 29.625 81
"1099" 10 "Be" "To" "Dc" 32 25 23 23 90 31 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 25.75 59
"1100" 10 "Be" "To" "Dc" 27.5 38.5 19.5 45 90 5.7 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 32.625 84.3
"1101" 11 "Pt" "Cb" "Sp" 3 16 0 14 175 16.6 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 8.25 158.4
"1102" 11 "Pt" "Cb" "Sp" 28 7.5 20 0 175 20 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 13.875 155
"1103" 12 "Be" "Fr" "Dc" 25.5 23 31 30 175 122 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 27.375 53
"1104" 12 "Be" "Fr" "Dc" 35 37 49.5 46 175 21 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 41.875 154
"1105" 13 "Be" "Hl" "To" 18.5 26 15 17.5 175 29 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 19.25 146
"1106" 13 "Be" "Hl" "To" 30 25 31.5 43 175 4.5 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 32.375 170.5
"1107" 14 "Sp" "Ra" "Pm" 6 6 0 5 175 167 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 4.25 8
"1108" 14 "Sp" "Ra" "Pm" 20 23 27 24 175 1.1 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 23.5 173.9
"1109" 15 "Be" "Pg" "Ra" 17 7 18.5 13 175 118 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 13.875 57
"1110" 15 "Be" "Pg" "Ra" 32 26.5 38 38 175 0.5 "nitrogen" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 33.625 174.5
"1111" 16 "Be" "Pt" "Pm" 17.5 18 12 5.5 175 30 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 13.25 145
"1112" 16 "Be" "Pt" "Pm" 36 13 26 0 175 8.1 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 18.75 166.9
"1113" 17 "Be" "Pt" "To" 15 12 17 0 171 40 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 11 131
"1114" 17 "Be" "Pt" "To" 30.5 28 21.5 31 171 13.8 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 27.75 157.2
"1115" 18 "Be" "Cb" "Ra" 0 15 25 18 171 35 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 14.5 136
"1116" 18 "Be" "Cb" "Ra" 26 20 26 28.5 171 2.3 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 25.125 168.7
"1117" 19 "Cb" "To" "Ra" 15.5 7.5 11.5 16 171 46 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 12.625 125
"1118" 19 "Cb" "To" "Ra" 25.5 27.5 14 14 171 6.8 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 20.25 164.2
"1119" 20 "Pt" "Dc" "Pg" 0 11 4 9 168 139 "control" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 6 29
"1120" 20 "Pt" "Dc" "Pg" 10 11 13.5 9 168 28 "nitrogen" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 10.875 140
"1121" 21 "Pt" "Cb" "Ra" 13 11.5 12.5 0 168 83 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 9.25 85
"1122" 21 "Pt" "Cb" "Ra" 22.5 20 25 29 168 4.8 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 24.125 163.2
"1123" 22 "Cb" "To" "Pm" 5.5 0 0 8.5 168 137 "control" NA "11h00" "12h00" NA 1 0 "1" "summer_2022" 3.5 31
"1124" 22 "Cb" "To" "Pm" 8.5 11 15 16 168 11 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 12.625 157
"1125" 23 "Lp" "To" "Ra" 19 0 14 11 168 90 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 11 78
"1126" 23 "Lp" "To" "Ra" 26 22 21 28 168 5.9 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 24.25 162.1
"1127" 24 "Be" "Pt" "Pg" 21 24.5 7 19 168 27 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 17.875 141
"1128" 24 "Be" "Pt" "Pg" 14 32.5 35 43.5 168 11.3 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 31.25 156.7
"1129" 25 "Be" "Ra" "Pm" 25.5 4 14 16 168 145 "control" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 14.875 23
"1130" 25 "Be" "Ra" "Pm" 41 43 37 30 168 1.8 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 37.75 166.2
"1131" 26 "Fr" "Hl" "To" 27 17 0 21 163 121 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 16.25 42
"1132" 26 "Fr" "Hl" "To" 26.5 26.5 33.5 31.5 163 7.7 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 29.5 155.3
"1133" 27 "Hl" "Sp" "Pg" 14.5 3 4 9 163 42 "control" NA "11h00" "12h00" NA 1 0 "1" "summer_2022" 7.625 121
"1134" 27 "Hl" "Sp" "Pg" 11.5 7.5 7 9 163 22 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 8.75 141
"1135" 28 "Fr" "Hl" "Dc" 20 4 0 15 163 17.5 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 9.75 145.5
"1136" 28 "Fr" "Hl" "Dc" 32.5 25 30 23 163 8.3 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 27.625 154.7
"1137" 29 "Hl" "Lp" "Ra" 16 11 14.5 20 163 85 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 15.375 78
"1138" 29 "Hl" "Lp" "Ra" 25 20 29 28.5 163 3 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 25.625 160
"1139" 30 "Fr" "Ra" "Pm" 9 7.5 11.5 10 163 91 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 9.5 72
"1140" 30 "Fr" "Ra" "Pm" 27 25.5 26.5 29 163 6.1 "nitrogen" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 27 156.9
"1141" 31 "Pt" "Pg" "Ra" 13 10.5 11 13 163 11.6 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 11.875 151.4
"1142" 31 "Pt" "Pg" "Ra" 37.5 37 33 28 163 0.5 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 33.875 162.5
"1143" 32 "Be" "Pt" "Sp" 2 8.5 15 7 163 158 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 8.125 5
"1144" 32 "Be" "Pt" "Sp" 23 0 20.5 17.5 163 16 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 15.25 147
"1145" 33 "Be" "Sp" "Ra" 4.5 3 13.5 6 163 75 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 6.75 88
"1146" 33 "Be" "Sp" "Ra" 47.5 29 30.5 15 163 4.3 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 30.5 158.7
"1147" 34 "Fr" "Pt" "Sp" 19.5 11 0 12.5 163 104 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 10.75 59
"1148" 34 "Fr" "Pt" "Sp" 30.5 31.5 16 31.5 163 0.6 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 27.375 162.4
"1149" 35 "Hl" "Pt" "Ra" 5.5 17 19.5 20 163 3.9 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 15.5 159.1
"1150" 35 "Hl" "Pt" "Ra" 33.5 24.5 0 26 163 2.4 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 21 160.6
"1151" 36 "Fr" "To" "Dc" 27 20 22 26 163 25 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 23.75 138
"1152" 36 "Fr" "To" "Dc" 34.5 33 33 33 163 20 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 33.375 143
"1153" 37 "Lp" "Cb" "Pg" 8.5 4 4 0 163 72 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 4.125 91
"1154" 37 "Lp" "Cb" "Pg" 5 0 19 0 163 81 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 6 82
"1155" 38 "Hl" "Pg" "Pm" 4.5 6 9 6 163 65 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 6.375 98
"1156" 38 "Hl" "Pg" "Pm" 20.5 17.5 20.5 13 163 2.8 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 17.875 160.2
"1157" 39 "Be" "Fr" "To" 0 17.5 20 32 163 65 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 17.375 98
"1158" 39 "Be" "Fr" "To" 28 19.5 15 31 163 30 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 23.375 133
"1159" 40 "Cb" "Ra" "Pm" 15 10.5 8 6 163 22 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 9.875 141
"1160" 40 "Cb" "Ra" "Pm" 23 18.5 20 19 163 1.9 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 20.125 161.1
"1161" 41 "Fr" "Pt" "Cb" 15 0 0 10 163 22 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 6.25 141
"1162" 41 "Fr" "Pt" "Cb" 31 32 20 31.5 163 3.5 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 28.625 159.5
"1163" 42 "Be" "Hl" "Pt" 13.5 27 17.5 22 163 4 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 20 159
"1164" 42 "Be" "Hl" "Pt" 29 26 30 6 163 1.5 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 22.75 161.5
"1165" 43 "Lp" "Cb" "Dc" 5 8.5 8 11 163 15.8 "control" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 8.125 147.2
"1166" 43 "Lp" "Cb" "Dc" 19 0 7 19 163 14.6 "nitrogen" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 11.25 148.4
"1167" 44 "Lp" "Cb" "Ra" 15.5 19 13 18.5 158 119 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 16.5 39
"1168" 44 "Lp" "Cb" "Ra" 21 28 21 19 158 7.3 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 22.25 150.7
"1169" 45 "Fr" "Hl" "Sp" 12 16.5 12 14.5 158 20.5 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 13.75 137.5
"1170" 45 "Fr" "Hl" "Sp" 27 36.5 21.5 28 158 4.3 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 28.25 153.7
"1171" 46 "Be" "Lp" "Dc" 18.5 15.5 18 21 158 36 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 18.25 122
"1172" 46 "Be" "Lp" "Dc" 47 41.5 39 24 158 5.5 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 37.875 152.5
"1173" 47 "Fr" "Lp" "Pt" 18.5 20 17.5 19.5 158 31 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 18.875 127
"1174" 47 "Fr" "Lp" "Pt" 20.5 25 24 22.5 158 2.4 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 23 155.6
"1175" 48 "Pg" "Ra" "Pm" 11.5 12.5 14.5 20.5 158 11.5 "control" NA "11h00" "12h00" NA 1 1 "1" "summer_2022" 14.75 146.5
"1176" 48 "Pg" "Ra" "Pm" 48 40.5 38 33.5 158 0.6 "nitrogen" NA "11h00" "12h00" NA 1 1 "0" "summer_2022" 40 157.4
"1177" 49 "Pg" NA NA 4 0 3.5 3.5 178 178 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 2.75 0
"1178" 49 "Pg" NA NA 0 8 7 8.5 178 145 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 5.875 33
"1179" 50 "Sp" NA NA 5 5 4 2.5 178 178 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 4.125 0
"1180" 50 "Sp" NA NA 0 0 12.5 14.5 178 4 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 6.75 174
"1181" 51 "Cb" NA NA 7 0 0 4.5 178 172 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 2.875 6
"1182" 51 "Cb" NA NA 23 19 19 18 178 7.8 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 19.75 170.2
"1183" 52 "Dc" NA NA 0 24.5 0 0 178 140 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 6.125 38
"1184" 52 "Dc" NA NA 0 0 0 0 178 178 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 0 0
"1185" 53 "Fr" NA NA 21 18 17.5 19.5 178 63 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 19 115
"1186" 53 "Fr" NA NA 28.5 32.5 22 30.5 178 16.7 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 28.375 161.3
"1187" 54 "Hl" NA NA 0 15.5 0 15 157 8.2 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 7.625 148.8
"1188" 54 "Hl" NA NA 0 0 22.5 0 157 3.9 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 5.625 153.1
"1189" 55 "Lp" NA NA 16.5 13 0 13.8 152 93 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 10.825 59
"1190" 55 "Lp" NA NA 22 20.5 24.5 25.5 152 60 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 23.125 92
"1191" 56 "Pm" NA NA 5 2 0 3.5 172 172 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 2.625 0
"1192" 56 "Pm" NA NA 10.5 10 8.5 12 172 9.8 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 10.25 162.2
"1193" 57 "Pt" NA NA 0 0 0 4 160 160 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 1 0
"1194" 57 "Pt" NA NA 5.5 4 5 0 160 160 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 3.625 0
"1195" 58 "Be" NA NA 10 0 15 19 184 70 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 11 114
"1196" 58 "Be" NA NA 28.5 33 21.5 32 184 7.8 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 28.75 176.2
"1197" 59 "Ra" NA NA 24.5 17 33 27.5 184 2.8 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 25.5 181.2
"1198" 59 "Ra" NA NA 35 33.5 33 39 184 0.7 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 35.125 183.3
"1199" 60 "To" NA NA 0 16 15 21.5 184 10.1 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 13.125 173.9
"1200" 60 "To" NA NA 29.5 0 24.5 25.5 184 35 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 19.875 149
