"plot_ID" "species_1" "species_2" "species_3" "heigth_A" "heigth_B" "heigth_C" "heigth_D" "PAR_sup" "PAR_inf" "treatment" "date" "PAR_start" "PAR_end" "first_flower" "pheno_sp1" "pheno_sp2" "pheno_sp3" "season" "mean_height" "PAR_diff"
"974" 7 "Lp" "Cb" "Sp" 23 19 16 17 189 4.9 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 18.75 184.1
"975" 8 "Pt" "Dc" "Sp" 8.5 8 4 7.5 189 39 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 7 150
"976" 8 "Pt" "Dc" "Sp" 19 14.5 14 14 189 8.4 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 15.375 180.6
"977" 9 "Fr" "Pt" "Pm" 14 6 18 6 189 145 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 11 44
"978" 9 "Fr" "Pt" "Pm" 33 35 27 29.5 189 13.3 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 31.125 175.7
"979" 10 "Be" "To" "Dc" 30 24 18 26 189 160 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 24.5 29
"980" 10 "Be" "To" "Dc" 27.5 20 38 40 189 20 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 31.375 169
"981" 11 "Pt" "Cb" "Sp" 0 14 0 12 189 4.6 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 6.5 184.4
"982" 11 "Pt" "Cb" "Sp" 14 7 21.5 0 189 14 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 10.625 175
"983" 12 "Be" "Fr" "Dc" 21 28 25 25.5 189 65 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 24.875 124
"984" 12 "Be" "Fr" "Dc" 29 41 45 37 189 100 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 38 89
"985" 13 "Be" "Hl" "To" 16.5 29.5 0 33 189 30 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 19.75 159
"986" 13 "Be" "Hl" "To" 23 22 32.5 37 189 20.2 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 28.625 168.8
"987" 14 "Sp" "Ra" "Pm" 6 5.5 0 3 189 9.6 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 3.625 179.4
"988" 14 "Sp" "Ra" "Pm" 22 23 22.5 23 189 176 "nitrogen" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 22.625 13
"989" 15 "Be" "Pg" "Ra" 16.5 22 18 10.5 189 1.2 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 16.75 187.8
"990" 15 "Be" "Pg" "Ra" 21 32 30.5 23.5 189 10 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 26.75 179
"991" 16 "Be" "Pt" "Pm" 18 13 5 5 189 1.3 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 10.25 187.7
"992" 16 "Be" "Pt" "Pm" 31 10.5 20.5 0 189 29 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 15.5 160
"993" 17 "Be" "Pt" "To" 13 0 4 0 189 12.4 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 4.25 176.6
"994" 17 "Be" "Pt" "To" 28 21.5 17 23.5 189 70 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 22.5 119
"995" 18 "Be" "Cb" "Ra" 15.5 11 22.5 16 189 3.2 "control" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 16.25 185.8
"996" 18 "Be" "Cb" "Ra" 22 20 20 21 189 13.5 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 20.75 175.5
"997" 19 "Cb" "To" "Ra" 16 5 13.5 4.5 189 4.8 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 9.75 184.2
"998" 19 "Cb" "To" "Ra" 25.5 23.5 5 13.5 189 18.8 "nitrogen" NA "11h00" "12h00" NA 1 0 "1" "summer_2022" 16.875 170.2
"999" 20 "Pt" "Dc" "Pg" 0 9 0 5.5 185 2.9 "control" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 3.625 182.1
"1000" 20 "Pt" "Dc" "Pg" 17 10.5 11 16.5 185 169 "nitrogen" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 13.75 16
"1001" 21 "Pt" "Cb" "Ra" 4 6.5 4.5 16.5 185 21 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 7.875 164
"1002" 21 "Pt" "Cb" "Ra" 18.5 16.5 24 26 185 37 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 21.25 148
"1003" 22 "Cb" "To" "Pm" 5 0 0 7 185 3.5 "control" NA "11h00" "12h00" NA 1 0 "1" "summer_2022" 3 181.5
"1004" 22 "Cb" "To" "Pm" 11 9 17 12 185 185 "nitrogen" NA "11h00" "12h00" NA 1 0 "1" "summer_2022" 12.25 0
"1005" 23 "Lp" "To" "Ra" 0 14 14 13 185 9.6 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 10.25 175.4
"1006" 23 "Lp" "To" "Ra" 20 19 23.5 20 185 127 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 20.625 58
"1007" 24 "Be" "Pt" "Pg" 13.5 6.5 19 7 185 7 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 11.5 178
"1008" 24 "Be" "Pt" "Pg" 12 32 25.5 36.5 185 110 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 26.5 75
"1009" 25 "Be" "Ra" "Pm" 15.5 3 11 6.5 185 21 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 9 164
"1010" 25 "Be" "Ra" "Pm" 48.5 29 35 32 185 130 "nitrogen" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 36.125 55
"1011" 26 "Fr" "Hl" "To" 13 16 13 17 185 9.3 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 14.75 175.7
"1012" 26 "Fr" "Hl" "To" 23.5 22 24 30 185 37 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 24.875 148
"1013" 27 "Hl" "Sp" "Pg" 14 4 5 14 185 7 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 9.25 178
"1014" 27 "Hl" "Sp" "Pg" 5 6 11.5 6 185 15.5 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 7.125 169.5
"1015" 28 "Fr" "Hl" "Dc" 15.5 15 9 13.5 185 67 "control" NA "11h00" "12h00" NA 0 1 "1" "summer_2022" 13.25 118
"1016" 28 "Fr" "Hl" "Dc" 30.5 28 23.5 21.5 185 68 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 25.875 117
"1017" 29 "Hl" "Lp" "Ra" 15 11.5 14 16 185 6.4 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 14.125 178.6
"1018" 29 "Hl" "Lp" "Ra" 25 28 28.5 29 185 30 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 27.625 155
"1019" 30 "Fr" "Ra" "Pm" 24 7 14 10 185 2.3 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 13.75 182.7
"1020" 30 "Fr" "Ra" "Pm" 30.5 27.5 27.5 27 185 145 "nitrogen" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 28.125 40
"1021" 31 "Pt" "Pg" "Ra" 12 8.5 14.5 12.5 185 1.5 "control" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 11.875 183.5
"1022" 31 "Pt" "Pg" "Ra" 37 33.5 27 28.5 185 14.4 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 31.5 170.6
"1023" 32 "Be" "Pt" "Sp" 9 11 15 8 185 0.18 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 10.75 184.82
"1024" 32 "Be" "Pt" "Sp" 20.5 13 7 14.5 185 103 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 13.75 82
"1025" 33 "Be" "Sp" "Ra" 5.5 0 14.5 7 185 9.6 "control" NA "11h00" "12h00" NA 0 0 "1" "summer_2022" 6.75 175.4
