"plot","species_1","species_2","species_3","heigth_A","heigth_B","heigth_C","heigth_D","PAR_sup","PAR_inf","nitrogen","date","PAR_start","PAR_end","first_flower","mean_height"
"243","2","Cb","Dc","Pg",8.5,7.5,8,13,185,110,"0",2020-05-11,"11h00","12h30",NA,9.25
"244","2","Cb","Dc","Pg",15.5,13,12.5,10.5,185,11.7,"1",2020-05-11,"11h00","12h30",NA,12.875
"245","3","Fr","Hl","Ra",14,18,27,30.5,190,80,"0",2020-05-11,"11h00","12h30",NA,22.375
"246","3","Fr","Hl","Ra",25.5,23.5,10.5,40,190,24,"1",2020-05-11,"11h00","12h30",NA,24.875
"247","4","Lp","Pt","Dc",39,29,31,40.5,193,81,"0",2020-05-11,"11h00","12h30",NA,34.875
"248","4","Lp","Pt","Dc",41,34,37.5,40,193,60,"1",2020-05-11,"11h00","12h30",NA,38.125
"249","5","Be","Hl","Dc",0,13,26.5,28,192,36,"0",2020-05-11,"11h00","12h30",NA,16.875
"250","5","Be","Hl","Dc",29,24,26,44.5,192,9.2,"1",2020-05-11,"11h00","12h30",NA,30.875
"251","6","Fr","To","Ra",19,24,8,11,192,18.2,"0",2020-05-11,"11h00","12h30",NA,15.5
"252","6","Fr","To","Ra",36,42.5,21,36,192,5.1,"1",2020-05-11,"11h00","12h30",NA,33.875
"253","7","Lp","Cb","Sp",28,18,23,36.5,187,109,"0",2020-05-11,"11h00","12h30",NA,26.375
"254","7","Lp","Cb","Sp",29,30.5,34,28,187,35,"1",2020-05-11,"11h00","12h30",NA,30.375
"255","8","Pt","Dc","Sp",9,7,4.5,13.5,187,32,"0",2020-05-11,"11h00","12h30",NA,8.5
"256","8","Pt","Dc","Sp",11.5,6,11.5,28,187,15.5,"1",2020-05-11,"11h00","12h30",NA,14.25
"257","9","Fr","Pt","Pm",24,12.5,25,12,190,167,"0",2020-05-11,"11h00","12h30",NA,18.375
"258","9","Fr","Pt","Pm",32,29,40,42.5,190,41,"1",2020-05-11,"11h00","12h30",NA,35.875
"259","10","Be","To","Dc",32.5,24.5,20,22.5,188,70,"0",2020-05-11,"11h00","12h30",NA,24.875
"260","10","Be","To","Dc",24,22,33,22,188,31,"1",2020-05-11,"11h00","12h30",NA,25.25
"261","11","Pt","Cb","Sp",13.5,27,31,14.5,184,66,"0",2020-05-11,"11h00","12h30",NA,21.5
"262","11","Pt","Cb","Sp",21,14,22,0,184,10,"1",2020-05-11,"11h00","12h30",NA,14.25
"263","12","Be","Fr","Dc",22.5,21,20,47.5,190,140,"0",2020-05-11,"11h00","12h30",NA,27.75
"264","12","Be","Fr","Dc",20,37,33,0,190,13.4,"1",2020-05-11,"11h00","12h30",NA,22.5
"265","13","Be","Hl","To",12.5,24.5,28,35,185,22,"0",2020-05-11,"11h00","12h30",NA,25
"266","13","Be","Hl","To",23.5,26.5,25,37,185,9.4,"1",2020-05-11,"11h00","12h30",NA,28
"267","14","Sp","Ra","Pm",7,10,0,6,185,21,"0",2020-05-11,"11h00","12h30",NA,5.75
"268","14","Sp","Ra","Pm",24.5,16,19,16,185,6.7,"1",2020-05-11,"11h00","12h30",NA,18.875
"269","15","Be","Pg","Ra",17,11,12,13,188,158,"0",2020-05-11,"11h00","12h30",NA,13.25
"270","15","Be","Pg","Ra",25.5,23,27.5,24,188,5.9,"1",2020-05-11,"11h00","12h30",NA,25
"271","16","Be","Pt","Pm",6,25,4,20,187,118,"0",2020-05-11,"11h00","12h30",NA,13.75
"272","16","Be","Pt","Pm",11,19,26.5,10.5,187,12,"1",2020-05-11,"11h00","12h30",NA,16.75
"273","17","Be","Pt","To",7,13.5,15,0,185,170,"0",2020-05-11,"11h00","12h30",NA,8.875
"274","17","Be","Pt","To",25,19,10.5,22,185,9.1,"1",2020-05-11,"11h00","12h30",NA,19.125
"275","18","Be","Cb","Ra",10,11,12,14,188,154,"0",2020-05-11,"11h00","12h30",NA,11.75
"276","18","Be","Cb","Ra",20.5,13.5,16,20.5,188,4.1,"1",2020-05-11,"11h00","12h30",NA,17.625
"277","19","Cb","To","Ra",16,9.5,31,11.5,188,47,"0",2020-05-11,"11h00","12h30",NA,17
"278","19","Cb","To","Ra",18,10,17.5,18.5,188,59,"1",2020-05-11,"11h00","12h30",NA,16
"279","20","Pt","Dc","Pg",19,8.5,0,6.5,185,185,"0",2020-05-11,"11h00","12h30",NA,8.5
"280","20","Pt","Dc","Pg",11,32,6,12.5,185,57,"1",2020-05-11,"11h00","12h30",NA,15.375
"281","21","Pt","Cb","Ra",12,6,11,9.5,184,37,"0",2020-05-11,"11h00","12h30",NA,9.625
"282","21","Pt","Cb","Ra",13,12.5,18,17,184,5.9,"1",2020-05-11,"11h00","12h30",NA,15.125
"283","22","Cb","To","Pm",5.5,3,0,0,187,162,"0",2020-05-11,"11h00","12h30",NA,2.125
"284","22","Cb","To","Pm",17.5,7,9,12,187,129,"1",2020-05-11,"11h00","12h30",NA,11.375
"285","23","Lp","To","Ra",45.5,11,17,33,187,86,"0",2020-05-11,"11h00","12h30",NA,26.625
"286","23","Lp","To","Ra",40,39,47,47,187,4.6,"1",2020-05-11,"11h00","12h30",NA,43.25
"287","24","Be","Pt","Pg",9,29,24.5,19,184,7.7,"0",2020-05-11,"11h00","12h30",NA,20.375
"288","24","Be","Pt","Pg",34,30,17.5,25,184,12.7,"1",2020-05-11,"11h00","12h30",NA,26.625
"289","25","Be","Ra","Pm",20,15,12,9.5,185,170,"0",2020-05-11,"11h00","12h30",NA,14.125
"290","25","Be","Ra","Pm",23.5,22,34,26,185,3.5,"1",2020-05-11,"11h00","12h30",NA,26.375
"291","26","Fr","Hl","To",24.5,16,56,18,185,50,"0",2020-05-11,"11h00","12h30",NA,28.625
"292","26","Fr","Hl","To",43,32,25.5,42,185,23,"1",2020-05-11,"11h00","12h30",NA,35.625
"293","27","Hl","Sp","Pg",25,30,33,6,183,70,"0",2020-05-11,"11h00","12h30",NA,23.5
"294","27","Hl","Sp","Pg",36,8.5,6.5,10,183,64,"1",2020-05-11,"11h00","12h30",NA,15.25
"295","28","Fr","Hl","Dc",13.5,6,0,38,184,15.5,"0",2020-05-11,"11h00","12h30",NA,14.375
"296","28","Fr","Hl","Dc",38,42,34.5,44,184,6.7,"1",2020-05-11,"11h00","12h30",NA,39.625
"297","29","Hl","Lp","Ra",17.5,20,39,14,183,45,"0",2020-05-11,"11h00","12h30",NA,22.625
"298","29","Hl","Lp","Ra",25,25.5,35,34.5,183,2.6,"1",2020-05-11,"11h00","12h30",NA,30
"299","30","Fr","Ra","Pm",9,5.5,0,13.5,184,37,"0",2020-05-11,"11h00","12h30",NA,7
"300","30","Fr","Ra","Pm",28,22.2,23.5,43,184,3.4,"1",2020-05-11,"11h00","12h30",NA,29.175
"301","31","Pt","Pg","Ra",15.5,12,13.5,17.5,184,11.2,"0",2020-05-11,"11h00","12h30",NA,14.625
"302","31","Pt","Pg","Ra",29.5,34.5,27,31,184,1.4,"1",2020-05-11,"11h00","12h30",NA,30.5
"303","32","Be","Pt","Sp",10.5,4,20.5,10,184,145,"0",2020-05-11,"11h00","12h30",NA,11.25
"304","32","Be","Pt","Sp",11.5,11.5,6,15,184,161,"1",2020-05-11,"11h00","12h30",NA,11
"305","33","Be","Sp","Ra",9,0,14,7,183,150,"0",2020-05-11,"11h00","12h30",NA,7.5
"306","33","Be","Sp","Ra",15.5,23,12,13,183,5.8,"1",2020-05-11,"11h00","12h30",NA,15.875
"307","34","Fr","Pt","Sp",50,40.5,11,30.5,184,73,"0",2020-05-11,"11h00","12h30",NA,33
"308","34","Fr","Pt","Sp",39,40,26.5,37,184,3.9,"1",2020-05-11,"11h00","12h30",NA,35.625
"309","35","Hl","Pt","Ra",12,34,22.5,20,182,12.6,"0",2020-05-11,"11h00","12h30",NA,22.125
"310","35","Hl","Pt","Ra",17,32,22.5,31.5,182,4.2,"1",2020-05-11,"11h00","12h30",NA,25.75
"311","36","Fr","To","Dc",40.5,0,35,37,180,11.3,"0",2020-05-11,"11h00","12h30",NA,28.125
"312","36","Fr","To","Dc",45.5,48.5,38,40,188,15,"1",2020-05-11,"11h00","12h30",NA,43
"313","37","Lp","Cb","Pg",13,0,0,32,180,16.5,"0",2020-05-11,"11h00","12h30",NA,11.25
"314","37","Lp","Cb","Pg",5.5,0,52,19.5,180,14.5,"1",2020-05-11,"11h00","12h30",NA,19.25
"315","38","Hl","Pg","Pm",12,28,17.5,8,182,131,"0",2020-05-11,"11h00","12h30",NA,16.375
"316","38","Hl","Pg","Pm",17,15,9.5,14.5,182,4.9,"1",2020-05-11,"11h00","12h30",NA,14
"317","39","Be","Fr","To",19,17.5,19.6,16.5,181,108,"0",2020-05-11,"11h00","12h30",NA,18.15
"318","39","Be","Fr","To",9,22,20.5,23.5,181,10.3,"1",2020-05-11,"11h00","12h30",NA,18.75
"319","40","Cb","Ra","Pm",11.5,11,12.5,11,181,26,"0",2020-05-11,"11h00","12h30",NA,11.5
"320","40","Cb","Ra","Pm",26.5,13,15,22.5,181,9.9,"1",2020-05-11,"11h00","12h30",NA,19.25
"321","41","Fr","Pt","Cb",15,0,11.5,6,180,130,"0",2020-05-11,"11h00","12h30",NA,8.125
"322","41","Fr","Pt","Cb",16.5,0,32,27.5,180,4.6,"1",2020-05-11,"11h00","12h30",NA,19
"323","42","Be","Hl","Pt",24,0,33.5,34,177,30,"0",2020-05-11,"11h00","12h30",NA,22.875
"324","42","Be","Hl","Pt",37.5,43,44,45,177,5.4,"1",2020-05-11,"11h00","12h30",NA,42.375
"325","43","Lp","Cb","Dc",32.5,11,0,16.5,180,171,"0",2020-05-11,"11h00","12h30",NA,15
"326","43","Lp","Cb","Dc",16,0,7.5,30,180,9.9,"1",2020-05-11,"11h00","12h30",NA,13.375
"327","44","Lp","Cb","Ra",31.5,21.5,28,21,178,105,"0",2020-05-11,"11h00","12h30",NA,25.5
"328","44","Lp","Cb","Ra",34.5,21,24,12.5,178,10,"1",2020-05-11,"11h00","12h30",NA,23
"329","45","Fr","Hl","Sp",12,22.5,30,28,175,100,"0",2020-05-11,"11h00","12h30",NA,23.125
"330","45","Fr","Hl","Sp",50.5,51,37.5,55,175,3.3,"1",2020-05-11,"11h00","12h30",NA,48.5
"331","46","Be","Lp","Dc",35,14,39,41,180,70,"0",2020-05-11,"11h00","12h30",NA,32.25
"332","46","Be","Lp","Dc",50,45,38.5,48,180,6.3,"1",2020-05-11,"11h00","12h30",NA,45.375
"333","47","Fr","Lp","Pt",33,37,28.5,0,177,12.8,"0",2020-05-11,"11h00","12h30",NA,24.625
"334","47","Fr","Lp","Pt",36.5,44.5,46,45,177,29,"1",2020-05-11,"11h00","12h30",NA,43
"335","48","Pg","Ra","Pm",9,10,11,17.5,177,82,"0",2020-05-11,"11h00","12h30",NA,11.875
"336","48","Pg","Ra","Pm",29.5,39,36,30,177,2.9,"1",2020-05-11,"11h00","12h30",NA,33.625
"337","49","Pg","-","-",3.5,5,3.5,3.5,192,192,"0",2020-05-11,"11h00","12h30","0",3.875
"338","49","Pg","-","-",8,4,4,8.5,192,159,"1",2020-05-11,"11h00","12h30","0",6.125
"339","50","Sp","-","-",4.5,3,3.5,5,193,193,"0",2020-05-11,"11h00","12h30","0",4
"340","50","Sp","-","-",0,13,9,5,193,14.1,"1",2020-05-11,"11h00","12h30","0",6.75
"341","51","Cb","-","-",6,0,4,3.5,190,190,"0",2020-05-11,"11h00","12h30","1",3.375
"342","51","Cb","-","-",17,14,0,13.5,190,17.5,"1",2020-05-11,"11h00","12h30","1",11.125
"343","52","Dc","-","-",0,0,10.5,0,190,190,"0",2020-05-11,"11h00","12h30","1",2.625
"344","52","Dc","-","-",0,0,0,0,190,190,"1",2020-05-11,"11h00","12h30","0",0
"345","53","Fr","-","-",21,0,26.5,29,192,83,"0",2020-05-11,"11h00","12h30","0",19.125
"346","53","Fr","-","-",27,32,41,39.5,192,32,"1",2020-05-11,"11h00","12h30","0",34.875
"347","54","Hl","-","-",36.5,40,0,0,192,25,"0",2020-05-11,"11h00","12h30","0",19.125
"348","54","Hl","-","-",0,0,39,42,192,10.3,"1",2020-05-11,"11h00","12h30","0",20.25
"349","55","Lp","-","-",27,0,0,13.5,190,115,"0",2020-05-11,"11h00","12h30","1",10.125
"350","55","Lp","-","-",21.5,14,17.5,22,190,54,"1",2020-05-11,"11h00","12h30","1",18.75
"351","56","Pm","-","-",5.5,3,0,4,190,190,"0",2020-05-11,"11h00","12h30","1",3.125
"352","56","Pm","-","-",10.5,9.5,10,11,190,122,"1",2020-05-11,"11h00","12h30","1",10.25
"353","57","Pt","-","-",14.5,18.5,0,10,193,183,"0",2020-05-11,"11h00","12h30","0",10.75
"354","57","Pt","-","-",23.5,22,34,32.5,193,18.5,"1",2020-05-11,"11h00","12h30","0",28
"355","58","Be","-","-",22,0,20,19.5,193,165,"0",2020-05-11,"11h00","12h30","0",15.375
"356","58","Be","-","-",0,30.5,20,23.5,193,17.2,"1",2020-05-11,"11h00","12h30","0",18.5
"357","59","Ra","-","-",17.5,12,22,24.5,193,17,"0",2020-05-11,"11h00","12h30","1",19
"358","59","Ra","-","-",20,18.5,21,33.5,193,2.8,"1",2020-05-11,"11h00","12h30","0",23.25
"359","60","To","-","-",15,16.5,0,20,192,23,"0",2020-05-11,"11h00","12h30","0",12.875
"360","60","To","-","-",18.5,19.5,16.5,15.5,182,103,"1",2020-05-11,"11h00","12h30","0",17.5
"361","1","To","Dc","Ra",13.5,12,0,0,188,19,"0",2020-05-18,"11h00","12h30",NA,6.375
"362","1","To","Dc","Ra",18,20,30.5,29,188,1.8,"1",2020-05-18,"11h00","12h30",NA,24.375
"363","2","Cb","Dc","Pg",8,11,8,14.5,185,24,"0",2020-05-18,"11h00","12h30",NA,10.375
"364","2","Cb","Dc","Pg",17.5,18,14,17.5,185,8.1,"1",2020-05-18,"11h00","12h30",NA,16.75
"365","3","Fr","Hl","Ra",20,21.5,22,29,184,87,"0",2020-05-18,"11h00","12h30",NA,23.125
"366","3","Fr","Hl","Ra",33,31,33.5,46.5,184,0.6,"1",2020-05-18,"11h00","12h30",NA,36
"367","4","Lp","Pt","Dc",40,34,41,21,185,43,"0",2020-05-18,"11h00","12h30",NA,34
"368","4","Lp","Pt","Dc",33,33,29,35.5,185,23,"1",2020-05-18,"11h00","12h30",NA,32.625
"369","5","Be","Hl","Dc",0,16,17.5,26.5,185,72,"0",2020-05-18,"11h00","12h30",NA,15
"370","5","Be","Hl","Dc",39.5,31,34.5,39,185,9.8,"1",2020-05-18,"11h00","12h30",NA,36
"371","6","Fr","To","Ra",21.5,25,9,32.5,183,70,"0",2020-05-18,"11h00","12h30",NA,22
"372","6","Fr","To","Ra",61,66,36,53.5,183,0.9,"1",2020-05-18,"11h00","12h30",NA,54.125
"373","7","Lp","Cb","Sp",23.5,22,9,18,181,113,"0",2020-05-18,"11h00","12h30",NA,18.125
"374","7","Lp","Cb","Sp",33,34,45,32.5,181,1.3,"1",2020-05-18,"11h00","12h30",NA,36.125
"375","8","Pt","Dc","Sp",9.5,8,4,12.5,181,70,"0",2020-05-18,"11h00","12h30",NA,8.5
"376","8","Pt","Dc","Sp",14,12.5,17,28,181,2.4,"1",2020-05-18,"11h00","12h30",NA,17.875
"377","9","Fr","Pt","Pm",28,18,30,31,183,76,"0",2020-05-18,"11h00","12h30",NA,26.75
"378","9","Fr","Pt","Pm",45,39.5,37,47.5,183,9.3,"1",2020-05-18,"11h00","12h30",NA,42.25
"379","10","Be","To","Dc",32.5,29,22,24.5,181,31,"0",2020-05-18,"11h00","12h30",NA,27
"380","10","Be","To","Dc",29,32.5,38,33,181,6.6,"1",2020-05-18,"11h00","12h30",NA,33.125
"381","11","Pt","Cb","Sp",0,6,12.5,17,183,12.3,"0",2020-05-18,"11h00","12h30",NA,8.875
"382","11","Pt","Cb","Sp",22.5,18,22.5,0,183,44,"1",2020-05-18,"11h00","12h30",NA,15.75
"383","12","Be","Fr","Dc",23,21.5,50,41.5,177,18.2,"0",2020-05-18,"11h00","12h30",NA,34
"384","12","Be","Fr","Dc",21,39,33,0,177,6.5,"1",2020-05-18,"11h00","12h30",NA,23.25
"385","13","Be","Hl","To",20,40,0,31,185,60,"0",2020-05-18,"11h00","12h30",NA,22.75
"386","13","Be","Hl","To",0,0,36.5,37.5,185,4.4,"1",2020-05-18,"11h00","12h30",NA,18.5
"387","14","Sp","Ra","Pm",5,11,0,6,185,100,"0",2020-05-18,"11h00","12h30",NA,5.5
"388","14","Sp","Ra","Pm",26,24,24,24,185,1.6,"1",2020-05-18,"11h00","12h30",NA,24.5
"389","15","Be","Pg","Ra",23,11.5,19.5,11.5,185,17.1,"0",2020-05-18,"11h00","12h30",NA,16.375
"390","15","Be","Pg","Ra",30,27,26,24,185,1.3,"1",2020-05-18,"11h00","12h30",NA,26.75
"391","16","Be","Pt","Pm",18.5,23,0,20,183,81,"0",2020-05-18,"11h00","12h30",NA,15.375
"392","16","Be","Pt","Pm",12,21.5,27,20,183,7.2,"1",2020-05-18,"11h00","12h30",NA,20.125
"393","17","Be","Pt","To",12,15,13,0,183,58,"0",2020-05-18,"11h00","12h30",NA,10
"394","17","Be","Pt","To",32,19.5,11.5,14,183,7.6,"1",2020-05-18,"11h00","12h30",NA,19.25
"395","18","Be","Cb","Ra",17.5,11,15.5,11,183,22,"0",2020-05-18,"11h00","12h30",NA,13.75
"396","18","Be","Cb","Ra",24.5,23,18,26.5,183,0.1,"1",2020-05-18,"11h00","12h30",NA,23
"397","19","Cb","To","Ra",17,11,9,11.5,181,19.7,"0",2020-05-18,"11h00","12h30",NA,12.125
"398","19","Cb","To","Ra",22.5,24,0,28.5,181,2.8,"1",2020-05-18,"11h00","12h30",NA,18.75
"399","20","Pt","Dc","Pg",0,10,4,11,181,180,"0",2020-05-18,"11h00","12h30",NA,6.25
"400","20","Pt","Dc","Pg",11,22,12.5,11,181,42,"1",2020-05-18,"11h00","12h30",NA,14.125
"401","21","Pt","Cb","Ra",15,12.5,9.5,11.5,181,110,"0",2020-05-18,"11h00","12h30",NA,12.125
"402","21","Pt","Cb","Ra",20.5,22,20,25,181,1.1,"1",2020-05-18,"11h00","12h30",NA,21.875
"403","22","Cb","To","Pm",6,3,0,0,181,157,"0",2020-05-18,"11h00","12h30",NA,2.25
"404","22","Cb","To","Pm",19,9,9.5,0,181,12.3,"1",2020-05-18,"11h00","12h30",NA,9.375
"405","23","Lp","To","Ra",40,17,26,41,180,90,"0",2020-05-18,"11h00","12h30",NA,31
"406","23","Lp","To","Ra",45,48.5,44.5,48,180,0.5,"1",2020-05-18,"11h00","12h30",NA,46.5
"407","24","Be","Pt","Pg",21,31,20.5,27.5,180,5.2,"0",2020-05-18,"11h00","12h30",NA,25
"408","24","Be","Pt","Pg",24,26,24.5,37,180,15.1,"1",2020-05-18,"11h00","12h30",NA,27.875
"409","25","Be","Ra","Pm",25.5,15,18,18,181,22,"0",2020-05-18,"11h00","12h30",NA,19.125
"410","25","Be","Ra","Pm",27,31,33,33.5,181,2.1,"1",2020-05-18,"11h00","12h30",NA,31.125
"411","26","Fr","Hl","To",45,23,69.5,0,181,135,"0",2020-05-18,"11h00","12h30",NA,34.375
"412","26","Fr","Hl","To",41,41,38.5,59,181,53,"1",2020-05-18,"11h00","12h30",NA,44.875
"413","27","Hl","Sp","Pg",23.5,24,42,7,181,50,"0",2020-05-18,"11h00","12h30",NA,24.125
"414","27","Hl","Sp","Pg",13,11,8.5,35.5,181,13.2,"1",2020-05-18,"11h00","12h30",NA,17
"415","28","Fr","Hl","Dc",16,0,0,38.5,181,38,"0",2020-05-18,"11h00","12h30",NA,13.625
"416","28","Fr","Hl","Dc",65.5,45.5,40.5,55,181,8.3,"1",2020-05-18,"11h00","12h30",NA,51.625
"417","29","Hl","Lp","Ra",20.5,20,42,16,180,17,"0",2020-05-18,"11h00","12h30",NA,24.625
"418","29","Hl","Lp","Ra",38,26,52,44,180,1.9,"1",2020-05-18,"11h00","12h30",NA,40
"419","30","Fr","Ra","Pm",19,0,6,16,180,80,"0",2020-05-18,"11h00","12h30",NA,10.25
"420","30","Fr","Ra","Pm",53,39.5,21.5,51,180,0.7,"1",2020-05-18,"11h00","12h30",NA,41.25
"421","31","Pt","Pg","Ra",21.5,18,21.5,22,180,5.9,"0",2020-05-18,"11h00","12h30",NA,20.75
"422","31","Pt","Pg","Ra",40.5,41,31.5,33.5,180,0.3,"1",2020-05-18,"11h00","12h30",NA,36.625
"423","32","Be","Pt","Sp",14.5,4,22,14,179,23,"0",2020-05-18,"11h00","12h30",NA,13.625
"424","32","Be","Pt","Sp",16,15.5,8,15.5,179,17.1,"1",2020-05-18,"11h00","12h30",NA,13.75
"425","33","Be","Sp","Ra",8,4,12,4.5,178,154,"0",2020-05-18,"11h00","12h30",NA,7.125
"426","33","Be","Sp","Ra",31.5,35.5,26,25,178,0.8,"1",2020-05-18,"11h00","12h30",NA,29.5
"427","34","Fr","Pt","Sp",41,50,13.5,35.5,178,23,"0",2020-05-18,"11h00","12h30",NA,35
"428","34","Fr","Pt","Sp",53.5,46.5,47.5,54,178,0.9,"1",2020-05-18,"11h00","12h30",NA,50.375
"429","35","Hl","Pt","Ra",13,17.5,29,12,174,22,"0",2020-05-18,"11h00","12h30",NA,17.875
"430","35","Hl","Pt","Ra",27.5,56.5,30.5,51.5,174,4.4,"1",2020-05-18,"11h00","12h30",NA,41.5
"431","36","Fr","To","Dc",35,38.5,52,26.5,176,10.2,"0",2020-05-18,"11h00","12h30",NA,38
"432","36","Fr","To","Dc",50.5,58,53,42.5,176,5.6,"1",2020-05-18,"11h00","12h30",NA,51
"433","37","Lp","Cb","Pg",32,4.5,0,30,178,14.9,"0",2020-05-18,"11h00","12h30",NA,16.625
"434","37","Lp","Cb","Pg",6,0,55,0,178,4,"1",2020-05-18,"11h00","12h30",NA,15.25
"435","38","Hl","Pg","Pm",15,39,32.5,8,175,53,"0",2020-05-18,"11h00","12h30",NA,23.625
"436","38","Hl","Pg","Pm",56,57,34,24.5,175,2.7,"1",2020-05-18,"11h00","12h30",NA,42.875
"437","39","Be","Fr","To",6,22.5,24.5,18.5,174,76,"0",2020-05-18,"11h00","12h30",NA,17.875
"438","39","Be","Fr","To",11,21,26,23.5,174,25,"1",2020-05-18,"11h00","12h30",NA,20.375
"439","40","Cb","Ra","Pm",13,11,10.5,10.5,175,18,"0",2020-05-18,"11h00","12h30",NA,11.25
"440","40","Cb","Ra","Pm",40.5,19,24,24.5,175,0.9,"1",2020-05-18,"11h00","12h30",NA,27
"441","41","Fr","Pt","Cb",0,0,12.5,16,175,113,"0",2020-05-18,"11h00","12h30",NA,7.125
"442","41","Fr","Pt","Cb",33.5,0,30.5,45.5,175,4.2,"1",2020-05-18,"11h00","12h30",NA,27.375
"443","42","Be","Hl","Pt",30.5,0,43.5,42,176,110,"0",2020-05-18,"11h00","12h30",NA,29
"444","42","Be","Hl","Pt",57,67,0,44.5,176,4.6,"1",2020-05-18,"11h00","12h30",NA,42.125
"445","43","Lp","Cb","Dc",34,5.5,15,29,174,110,"0",2020-05-18,"11h00","12h30",NA,20.875
"446","43","Lp","Cb","Dc",18,0,15.5,30,174,8,"1",2020-05-18,"11h00","12h30",NA,15.875
"447","44","Lp","Cb","Ra",31,20.5,25,34.5,176,91,"0",2020-05-18,"11h00","12h30",NA,27.75
"448","44","Lp","Cb","Ra",47,29.5,27,28,176,3.5,"1",2020-05-18,"11h00","12h30",NA,32.875
"449","45","Fr","Hl","Sp",45,30,47.5,65,173,76,"0",2020-05-18,"11h00","12h30",NA,46.875
"450","45","Fr","Hl","Sp",61.5,76.5,46,67,173,6.2,"1",2020-05-18,"11h00","12h30",NA,62.75
"451","46","Be","Lp","Dc",42,14,39,45,173,21,"0",2020-05-18,"11h00","12h30",NA,35
"452","46","Be","Lp","Dc",42,49.5,38,39,173,6,"1",2020-05-18,"11h00","12h30",NA,42.125
"453","47","Fr","Lp","Pt",38.5,44.5,40,0,170,21,"0",2020-05-18,"11h00","12h30",NA,30.75
"454","47","Fr","Lp","Pt",49,46,48.5,54,170,14.5,"1",2020-05-18,"11h00","12h30",NA,49.375
"455","48","Pg","Ra","Pm",18.5,12,14,20,170,11.6,"0",2020-05-18,"11h00","12h30",NA,16.125
"456","48","Pg","Ra","Pm",30.5,34,54,34.5,170,0.5,"1",2020-05-18,"11h00","12h30",NA,38.25
"457","49","Pg","-","-",4,6,5,3,181,181,"0",2020-05-18,"11h00","12h30","0",4.5
"458","49","Pg","-","-",12,3,9.5,13,181,10.8,"1",2020-05-18,"11h00","12h30","0",9.375
"459","50","Sp","-","-",6,2,5.5,4.5,185,117,"0",2020-05-18,"11h00","12h30","1",4.5
"460","50","Sp","-","-",0,14,11,11,185,2.9,"1",2020-05-18,"11h00","12h30","1",9
"461","51","Cb","-","-",7,6,0,0,185,185,"0",2020-05-18,"11h00","12h30","1",3.25
"462","51","Cb","-","-",20.5,15.5,8,17,185,3.9,"1",2020-05-18,"11h00","12h30","1",15.25
"463","52","Dc","-","-",0,0,12,0,189,186,"0",2020-05-18,"11h00","12h30","1",3
"464","52","Dc","-","-",0,0,0,0,189,189,"1",2020-05-18,"11h00","12h30","0",0
"465","53","Fr","-","-",28.5,29,30,29.5,189,48,"0",2020-05-18,"11h00","12h30","0",29.25
"466","53","Fr","-","-",33,38,39,0,189,14,"1",2020-05-18,"11h00","12h30","0",27.5
"467","54","Hl","-","-",0,40,0,16,190,25,"0",2020-05-18,"11h00","12h30","0",14
"468","54","Hl","-","-",0,0,49,0,190,11,"1",2020-05-18,"11h00","12h30","1",12.25
"469","55","Lp","-","-",16.5,13,0,13.5,186,71,"0",2020-05-18,"11h00","12h30","1",10.75
"470","55","Lp","-","-",25,21,28,25.5,186,15.5,"1",2020-05-18,"11h00","12h30","1",24.875
"471","56","Pm","-","-",6,2,0,6,187,184,"0",2020-05-18,"11h00","12h30","0",3.5
"472","56","Pm","-","-",15,11.5,11.5,13.5,187,9.1,"1",2020-05-18,"11h00","12h30","1",12.875
"473","57","Pt","-","-",5,0,0,10,187,70,"0",2020-05-18,"11h00","12h30","0",3.75
"474","57","Pt","-","-",27.5,27.5,28.5,20.5,187,16.5,"1",2020-05-18,"11h00","12h30","1",26
"475","58","Be","-","-",20.5,18,17,20,187,62,"0",2020-05-18,"11h00","12h30","1",18.875
"476","58","Be","-","-",29.5,35.5,0,27.5,187,9.3,"1",2020-05-18,"11h00","12h30","1",23.125
"477","59","Ra","-","-",21,13,25.5,25.5,187,10.1,"0",2020-05-18,"11h00","12h30","1",21.25
"478","59","Ra","-","-",27,22,20.5,37.5,187,0.7,"1",2020-05-18,"11h00","12h30","1",26.75
"479","60","To","-","-",27.5,0,0,20,187,4.2,"0",2020-05-18,"11h00","12h30","0",11.875
"480","60","To","-","-",26.5,0,24,0,187,5.3,"1",2020-05-18,"11h00","12h30","0",12.625
"481","1","To","Dc","Ra",12,12.5,0,0,218,31,"0",2020-05-26,"11h00","12h30",NA,6.125
"482","1","To","Dc","Ra",17,22,30.5,28.5,218,6.2,"1",2020-05-26,"11h00","12h30",NA,24.5
"483","2","Cb","Dc","Pg",9,10,8.5,22.5,218,117,"0",2020-05-26,"11h00","12h30",NA,12.5
"484","2","Cb","Dc","Pg",17.5,22.5,20,14,218,1.8,"1",2020-05-26,"11h00","12h30",NA,18.5
"485","3","Fr","Hl","Ra",5.5,23.5,14,38.5,218,100,"0",2020-05-26,"11h00","12h30",NA,20.375
"486","3","Fr","Hl","Ra",34,20,41,52.5,218,2.1,"1",2020-05-26,"11h00","12h30",NA,36.875
"487","4","Lp","Pt","Dc",36,35,21.5,26,218,39,"0",2020-05-26,"11h00","12h30",NA,29.625
